board,decision,Input
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X  X   O ,7,"[1, 0, 0, 1, 0, 0, 0, 2, 0]"
OX   OX  ,8,"[2, 1, 0, 0, 0, 2, 1, 0, 0]"
 XO     X,5,"[0, 1, 2, 0, 0, 0, 0, 0, 1]"
XO  X XOO,6,"[1, 2, 0, 0, 1, 0, 1, 2, 2]"
OO XX XOX,3,"[2, 2, 0, 1, 1, 0, 1, 2, 1]"
O X XO  X,7,"[2, 0, 1, 0, 1, 2, 0, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XO      ,7,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
   XOX  O,7,"[0, 0, 0, 1, 2, 1, 0, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
O X  OX  ,9,"[2, 0, 1, 0, 0, 2, 1, 0, 0]"
   O  X X,1,"[0, 0, 0, 2, 0, 0, 1, 0, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
X  O OXX ,9,"[1, 0, 0, 2, 0, 2, 1, 1, 0]"
O   OX  X,8,"[2, 0, 0, 0, 2, 1, 0, 0, 1]"
X    X  O,4,"[1, 0, 0, 0, 0, 1, 0, 0, 2]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
X X OO OX,2,"[1, 0, 1, 0, 2, 2, 0, 2, 1]"
X  XOXOXO,3,"[1, 0, 0, 1, 2, 1, 2, 1, 2]"
  OX     ,1,"[0, 0, 2, 1, 0, 0, 0, 0, 0]"
 XX OOX O,1,"[0, 1, 1, 0, 2, 2, 1, 0, 2]"
X  OO X  ,6,"[1, 0, 0, 2, 2, 0, 1, 0, 0]"
   X O X ,1,"[0, 0, 0, 1, 0, 2, 0, 1, 0]"
    XXXOO,4,"[0, 0, 0, 0, 1, 1, 1, 2, 2]"
  OX XO X,5,"[0, 0, 2, 1, 0, 1, 2, 0, 1]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
OXXXOOX  ,9,"[2, 1, 1, 1, 2, 2, 1, 0, 0]"
       X ,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
  XOOXXXO,1,"[0, 0, 1, 2, 2, 1, 1, 1, 2]"
   XX  O ,9,"[0, 0, 0, 1, 1, 0, 0, 2, 0]"
    OO XX,7,"[0, 0, 0, 0, 2, 2, 0, 1, 1]"
     X  O,7,"[0, 0, 0, 0, 0, 1, 0, 0, 2]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XO  X O,1,"[0, 0, 1, 2, 0, 0, 1, 0, 2]"
 XXX OO  ,1,"[0, 1, 1, 1, 0, 2, 2, 0, 0]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
OXXXXO OO,7,"[2, 1, 1, 1, 1, 2, 0, 2, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
  XXOX O ,9,"[0, 0, 1, 1, 2, 1, 0, 2, 0]"
OO X XXOX,3,"[2, 2, 0, 1, 0, 1, 1, 2, 1]"
 X   XXOO,4,"[0, 1, 0, 0, 0, 1, 1, 2, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
  XO OX  ,5,"[0, 0, 1, 2, 0, 2, 1, 0, 0]"
 O   O XX,5,"[0, 2, 0, 0, 0, 2, 0, 1, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 X   OOX ,1,"[0, 1, 0, 0, 0, 2, 2, 1, 0]"
    OXOXX,3,"[0, 0, 0, 0, 2, 1, 2, 1, 1]"
   OXX   ,7,"[0, 0, 0, 2, 1, 1, 0, 0, 0]"
X X X  OO,7,"[1, 0, 1, 0, 1, 0, 0, 2, 2]"
 X  O OX ,1,"[0, 1, 0, 0, 2, 0, 2, 1, 0]"
   O  X  ,5,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
  O OXX  ,9,"[0, 0, 2, 0, 2, 1, 1, 0, 0]"
XOXXX OO ,9,"[1, 2, 1, 1, 1, 0, 2, 2, 0]"
O X  X   ,5,"[2, 0, 1, 0, 0, 1, 0, 0, 0]"
   XO  X ,7,"[0, 0, 0, 1, 2, 0, 0, 1, 0]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
XOX O    ,8,"[1, 2, 1, 0, 2, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XX  OX O,5,"[0, 1, 1, 0, 0, 2, 1, 0, 2]"
XOXXO O X,8,"[1, 2, 1, 1, 2, 0, 2, 0, 1]"
X    O OX,2,"[1, 0, 0, 0, 0, 2, 0, 2, 1]"
       X ,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
  X  OX O,1,"[0, 0, 1, 0, 0, 2, 1, 0, 2]"
 XX OO  X,4,"[0, 1, 1, 0, 2, 2, 0, 0, 1]"
    O X  ,9,"[0, 0, 0, 0, 2, 0, 1, 0, 0]"
O XX O XO,5,"[2, 0, 1, 1, 0, 2, 0, 1, 2]"
