board,decision,Input
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX X XO  ,5,"[2, 1, 0, 1, 0, 1, 2, 0, 0]"
X XO O   ,5,"[1, 0, 1, 2, 0, 2, 0, 0, 0]"
 XOOXOXOX,1,"[0, 1, 2, 2, 1, 2, 1, 2, 1]"
 OO   XX ,1,"[0, 2, 2, 0, 0, 0, 1, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XO  OXX  ,8,"[1, 2, 0, 0, 2, 1, 1, 0, 0]"
O   XX   ,4,"[2, 0, 0, 0, 1, 1, 0, 0, 0]"
XOX     O,7,"[1, 2, 1, 0, 0, 0, 0, 0, 2]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X  XO,2,"[0, 0, 0, 0, 1, 0, 0, 1, 2]"
  O XXO  ,1,"[0, 0, 2, 0, 1, 1, 2, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XXO O OX,1,"[0, 1, 1, 2, 0, 2, 0, 2, 1]"
 OOXX O X,1,"[0, 2, 2, 1, 1, 0, 2, 0, 1]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X OOXXOX ,2,"[1, 0, 2, 2, 1, 1, 2, 1, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XXO X O ,1,"[0, 1, 1, 2, 0, 1, 0, 2, 0]"
O XXOO X ,9,"[2, 0, 1, 1, 2, 2, 0, 1, 0]"
X    X OO,7,"[1, 0, 0, 0, 0, 1, 0, 2, 2]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
XXO    OX,5,"[1, 1, 2, 0, 0, 0, 0, 2, 1]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  XX OOX ,5,"[0, 0, 1, 1, 0, 2, 2, 1, 0]"
O XO   XX,7,"[2, 0, 1, 2, 0, 0, 0, 1, 1]"
 O  X XO ,4,"[0, 2, 0, 0, 1, 0, 1, 2, 0]"
XOXX X OO,5,"[1, 2, 1, 1, 0, 1, 0, 2, 2]"
O XO O XX,7,"[2, 0, 1, 2, 0, 2, 0, 1, 1]"
      XO ,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
 XXOXX OO,7,"[0, 1, 1, 2, 1, 1, 0, 2, 2]"
   XO    ,3,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
   O O XX,5,"[0, 0, 0, 2, 0, 2, 0, 1, 1]"
    O  XX,7,"[0, 0, 0, 0, 2, 0, 0, 1, 1]"
X XO  OXO,2,"[1, 0, 1, 2, 0, 0, 2, 1, 2]"
 XX O OXO,1,"[0, 1, 1, 0, 2, 0, 2, 1, 2]"
X  XOO OX,2,"[1, 0, 0, 1, 2, 2, 0, 2, 1]"
OX OX XOX,3,"[2, 1, 0, 2, 1, 0, 1, 2, 1]"
X   O X  ,4,"[1, 0, 0, 0, 2, 0, 1, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XX     O,5,"[0, 1, 1, 0, 0, 0, 0, 0, 2]"
O OXX  X ,2,"[2, 0, 2, 1, 1, 0, 0, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 X O OX  ,5,"[0, 1, 0, 2, 0, 2, 1, 0, 0]"
X XO X O ,9,"[1, 0, 1, 2, 0, 1, 0, 2, 0]"
XXOO  X O,6,"[1, 1, 2, 2, 0, 0, 1, 0, 2]"
X   OOX X,4,"[1, 0, 0, 0, 2, 2, 1, 0, 1]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X    O ,9,"[0, 0, 1, 0, 0, 0, 0, 2, 0]"
 O X XO  ,9,"[0, 2, 0, 1, 0, 1, 2, 0, 0]"
  OO   XX,2,"[0, 0, 2, 2, 0, 0, 0, 1, 1]"
   X     ,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
    O  X ,4,"[0, 0, 0, 0, 2, 0, 0, 1, 0]"
 OXO O XX,7,"[0, 2, 1, 2, 0, 2, 0, 1, 1]"
   XO XO ,1,"[0, 0, 0, 1, 2, 0, 1, 2, 0]"
  XO     ,1,"[0, 0, 1, 2, 0, 0, 0, 0, 0]"
    XOO X,8,"[0, 0, 0, 0, 1, 2, 2, 0, 1]"
OXX O  OX,6,"[2, 1, 1, 0, 2, 0, 0, 2, 1]"
  X  X  O,8,"[0, 0, 1, 0, 0, 1, 0, 0, 2]"
O O XXXOX,2,"[2, 0, 2, 0, 1, 1, 1, 2, 1]"
X X    OO,7,"[1, 0, 1, 0, 0, 0, 0, 2, 2]"
  O OXX  ,8,"[0, 0, 2, 0, 2, 1, 1, 0, 0]"
 X      O,3,"[0, 1, 0, 0, 0, 0, 0, 0, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X    XO,5,"[0, 0, 1, 0, 0, 0, 0, 1, 2]"
X XO   XO,2,"[1, 0, 1, 2, 0, 0, 0, 1, 2]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X     O  ,3,"[1, 0, 0, 0, 0, 0, 2, 0, 0]"
O  OX  X ,7,"[2, 0, 0, 2, 1, 0, 0, 1, 0]"
  O XXO  ,2,"[0, 0, 2, 0, 1, 1, 2, 0, 0]"
O XX  XOO,5,"[2, 0, 1, 1, 0, 0, 1, 2, 2]"
 O OXXX O,3,"[0, 2, 0, 2, 1, 1, 1, 0, 2]"
X    X OO,7,"[1, 0, 0, 0, 0, 1, 0, 2, 2]"
X   X O  ,9,"[1, 0, 0, 0, 1, 0, 2, 0, 0]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
 O   XXXO,1,"[0, 2, 0, 0, 0, 1, 1, 1, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O  OX X ,9,"[0, 2, 0, 0, 2, 1, 0, 1, 0]"
 OO X X X,1,"[0, 2, 2, 0, 1, 0, 1, 0, 1]"
 OOXX XXO,1,"[0, 2, 2, 1, 1, 0, 1, 1, 2]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
OXXO OXX ,5,"[2, 1, 1, 2, 0, 2, 1, 1, 0]"
  X  X  O,8,"[0, 0, 1, 0, 0, 1, 0, 0, 2]"
   X XOOX,3,"[0, 0, 0, 1, 0, 1, 2, 2, 1]"
 XX O OXO,1,"[0, 1, 1, 0, 2, 0, 2, 1, 2]"
XX XOO   ,8,"[1, 1, 0, 1, 2, 2, 0, 0, 0]"
 O   OXX ,5,"[0, 2, 0, 0, 0, 2, 1, 1, 0]"
X   OO XX,7,"[1, 0, 0, 0, 2, 2, 0, 1, 1]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
O  XOOXX ,9,"[2, 0, 0, 1, 2, 2, 1, 1, 0]"
     X   ,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
XXOOXX OO,7,"[1, 1, 2, 2, 1, 1, 0, 2, 2]"
   OXXO  ,1,"[0, 0, 0, 2, 1, 1, 2, 0, 0]"
 O     XX,7,"[0, 2, 0, 0, 0, 0, 0, 1, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXOO XOX ,5,"[1, 1, 2, 2, 0, 1, 2, 1, 0]"
XXOXX O O,6,"[1, 1, 2, 1, 1, 0, 2, 0, 2]"
OOXX    X,7,"[2, 2, 1, 1, 0, 0, 0, 0, 1]"
 O OXXXOX,1,"[0, 2, 0, 2, 1, 1, 1, 2, 1]"
       OX,3,"[0, 0, 0, 0, 0, 0, 0, 2, 1]"
   OX  X ,9,"[0, 0, 0, 2, 1, 0, 0, 1, 0]"
XOXO  X O,5,"[1, 2, 1, 2, 0, 0, 1, 0, 2]"
XOX O O X,6,"[1, 2, 1, 0, 2, 0, 2, 0, 1]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
O XOX   X,7,"[2, 0, 1, 2, 1, 0, 0, 0, 1]"
   OXXX O,3,"[0, 0, 0, 2, 1, 1, 1, 0, 2]"
 O X  X  ,1,"[0, 2, 0, 1, 0, 0, 1, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
O X   X  ,9,"[2, 0, 1, 0, 0, 0, 1, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
     XO  ,9,"[0, 0, 0, 0, 0, 1, 2, 0, 0]"
X XOO OXX,6,"[1, 0, 1, 2, 2, 0, 2, 1, 1]"
 O XX    ,7,"[0, 2, 0, 1, 1, 0, 0, 0, 0]"
X    OX  ,5,"[1, 0, 0, 0, 0, 2, 1, 0, 0]"
O XO XXXO,5,"[2, 0, 1, 2, 0, 1, 1, 1, 2]"
O XX     ,5,"[2, 0, 1, 1, 0, 0, 0, 0, 0]"
   X X O ,5,"[0, 0, 0, 1, 0, 1, 0, 2, 0]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XX O     ,5,"[1, 1, 0, 2, 0, 0, 0, 0, 0]"
     XO  ,9,"[0, 0, 0, 0, 0, 1, 2, 0, 0]"
  O     X,7,"[0, 0, 2, 0, 0, 0, 0, 0, 1]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
 XO XO   ,9,"[0, 1, 2, 0, 1, 2, 0, 0, 0]"
XX  OO  X,3,"[1, 1, 0, 0, 2, 2, 0, 0, 1]"
XX OO  OX,3,"[1, 1, 0, 2, 2, 0, 0, 2, 1]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
XOX   O  ,9,"[1, 2, 1, 0, 0, 0, 2, 0, 0]"
OXO XX O ,4,"[2, 1, 2, 0, 1, 1, 0, 2, 0]"
O OXX O X,2,"[2, 0, 2, 1, 1, 0, 2, 0, 1]"
  XOO XX ,9,"[0, 0, 1, 2, 2, 0, 1, 1, 0]"
    O X  ,1,"[0, 0, 0, 0, 2, 0, 1, 0, 0]"
X  O   OX,3,"[1, 0, 0, 2, 0, 0, 0, 2, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXX      ,7,"[2, 1, 1, 0, 0, 0, 0, 0, 0]"
  X  X O ,9,"[0, 0, 1, 0, 0, 1, 0, 2, 0]"
 X O  XO ,3,"[0, 1, 0, 2, 0, 0, 1, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X X  O O,5,"[0, 1, 0, 1, 0, 0, 2, 0, 2]"
OXX XOOOX,4,"[2, 1, 1, 0, 1, 2, 2, 2, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XO  X  XO,6,"[1, 2, 0, 0, 1, 0, 0, 1, 2]"
 O    X X,5,"[0, 2, 0, 0, 0, 0, 1, 0, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 X   XOO ,9,"[0, 1, 0, 0, 0, 1, 2, 2, 0]"
 XXOO XOX,6,"[0, 1, 1, 2, 2, 0, 1, 2, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XOX XOO  ,9,"[1, 2, 1, 0, 1, 2, 2, 0, 0]"
 O  XXXOO,3,"[0, 2, 0, 0, 1, 1, 1, 2, 2]"
X  XOO XO,3,"[1, 0, 0, 1, 2, 2, 0, 1, 2]"
OXX O   X,6,"[2, 1, 1, 0, 2, 0, 0, 0, 1]"
OOXXOXOX ,9,"[2, 2, 1, 1, 2, 1, 2, 1, 0]"
    OX   ,3,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X OXOO ,2,"[1, 0, 1, 0, 2, 1, 2, 2, 0]"
X OX O  X,2,"[1, 0, 2, 1, 0, 2, 0, 0, 1]"
OOX    XX,6,"[2, 2, 1, 0, 0, 0, 0, 1, 1]"
OXX  O   ,5,"[2, 1, 1, 0, 0, 2, 0, 0, 0]"
X   O    ,7,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
O X   XXO,5,"[2, 0, 1, 0, 0, 0, 1, 1, 2]"
OXX    XO,5,"[2, 1, 1, 0, 0, 0, 0, 1, 2]"
     X O ,5,"[0, 0, 0, 0, 0, 1, 0, 2, 0]"
   OX O X,1,"[0, 0, 0, 2, 1, 0, 2, 0, 1]"
     OX  ,9,"[0, 0, 0, 0, 0, 2, 1, 0, 0]"
X XO  O  ,8,"[1, 0, 1, 2, 0, 0, 2, 0, 0]"
O  OXX OX,3,"[2, 0, 0, 2, 1, 1, 0, 2, 1]"
OO  X  XX,7,"[2, 2, 0, 0, 1, 0, 0, 1, 1]"
 OXXX OO ,6,"[0, 2, 1, 1, 1, 0, 2, 2, 0]"
O X  X  O,5,"[2, 0, 1, 0, 0, 1, 0, 0, 2]"
 OXO XOX ,9,"[0, 2, 1, 2, 0, 1, 2, 1, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOX O XXO,4,"[1, 2, 1, 0, 2, 0, 1, 1, 2]"
X  O   OX,3,"[1, 0, 0, 2, 0, 0, 0, 2, 1]"
 O     X ,9,"[0, 2, 0, 0, 0, 0, 0, 1, 0]"
 O XX  O ,7,"[0, 2, 0, 1, 1, 0, 0, 2, 0]"
XOXO OXXO,5,"[1, 2, 1, 2, 0, 2, 1, 1, 2]"
XX    O O,8,"[1, 1, 0, 0, 0, 0, 2, 0, 2]"
      X O,1,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
OOX   XXO,5,"[2, 2, 1, 0, 0, 0, 1, 1, 2]"
O   X OX ,4,"[2, 0, 0, 0, 1, 0, 2, 1, 0]"
X O OXXOX,2,"[1, 0, 2, 0, 2, 1, 1, 2, 1]"
 XOXOXX O,1,"[0, 1, 2, 1, 2, 1, 1, 0, 2]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
 XOXOX XO,1,"[0, 1, 2, 1, 2, 1, 0, 1, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXOO X X,8,"[1, 2, 1, 2, 2, 0, 1, 0, 1]"
 X XO XOO,1,"[0, 1, 0, 1, 2, 0, 1, 2, 2]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O XO  XX,7,"[0, 2, 0, 1, 2, 0, 0, 1, 1]"
 OOXO XX ,9,"[0, 2, 2, 1, 2, 0, 1, 1, 0]"
 XX OXOO ,9,"[0, 1, 1, 0, 2, 1, 2, 2, 0]"
OXX XOOOX,4,"[2, 1, 1, 0, 1, 2, 2, 2, 1]"
 XX   O  ,1,"[0, 1, 1, 0, 0, 0, 2, 0, 0]"
   X   O ,5,"[0, 0, 0, 1, 0, 0, 0, 2, 0]"
X  O  XO ,3,"[1, 0, 0, 2, 0, 0, 1, 2, 0]"
OOXXX  XO,7,"[2, 2, 1, 1, 1, 0, 0, 1, 2]"
 OOO XX X,1,"[0, 2, 2, 2, 0, 1, 1, 0, 1]"
 X OO XX ,9,"[0, 1, 0, 2, 2, 0, 1, 1, 0]"
 O  XXOXO,4,"[0, 2, 0, 0, 1, 1, 2, 1, 2]"
X XO  OOX,6,"[1, 0, 1, 2, 0, 0, 2, 2, 1]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
  OXX  O ,1,"[0, 0, 2, 1, 1, 0, 0, 2, 0]"
OOXXOXOX ,9,"[2, 2, 1, 1, 2, 1, 2, 1, 0]"
   OXX   ,7,"[0, 0, 0, 2, 1, 1, 0, 0, 0]"
OXOXX    ,6,"[2, 1, 2, 1, 1, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O XXOOXOX,2,"[2, 0, 1, 1, 2, 2, 1, 2, 1]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   OX  X ,2,"[0, 0, 0, 2, 1, 0, 0, 1, 0]"
 XO OXXXO,1,"[0, 1, 2, 0, 2, 1, 1, 1, 2]"
O XXO XOX,2,"[2, 0, 1, 1, 2, 0, 1, 2, 1]"
X   XXO O,8,"[1, 0, 0, 0, 1, 1, 2, 0, 2]"
X  X O   ,7,"[1, 0, 0, 1, 0, 2, 0, 0, 0]"
X  XXOO O,2,"[1, 0, 0, 1, 1, 2, 2, 0, 2]"
O  XX   O,2,"[2, 0, 0, 1, 1, 0, 0, 0, 2]"
XXOOXXO O,8,"[1, 1, 2, 2, 1, 1, 2, 0, 2]"
O  X     ,9,"[2, 0, 0, 1, 0, 0, 0, 0, 0]"
O O XOX X,8,"[2, 0, 2, 0, 1, 2, 1, 0, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X OO XXO ,5,"[1, 0, 2, 2, 0, 1, 1, 2, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X O  OX ,1,"[0, 1, 0, 2, 0, 0, 2, 1, 0]"
O      X ,7,"[2, 0, 0, 0, 0, 0, 0, 1, 0]"
 OXXOXOXO,1,"[0, 2, 1, 1, 2, 1, 2, 1, 2]"
XOXOXO XO,7,"[1, 2, 1, 2, 1, 2, 0, 1, 2]"
 O    XX ,9,"[0, 2, 0, 0, 0, 0, 1, 1, 0]"
   XX O  ,6,"[0, 0, 0, 1, 1, 0, 2, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X XXXO OO,7,"[1, 0, 1, 1, 1, 2, 0, 2, 2]"
   OXOXX ,3,"[0, 0, 0, 2, 1, 2, 1, 1, 0]"
O  X   XO,5,"[2, 0, 0, 1, 0, 0, 0, 1, 2]"
X    XXOO,3,"[1, 0, 0, 0, 0, 1, 1, 2, 2]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X    OX,4,"[0, 0, 1, 0, 0, 0, 0, 2, 1]"
OOXXO X  ,8,"[2, 2, 1, 1, 2, 0, 1, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
XXO OXXOO,4,"[1, 1, 2, 0, 2, 1, 1, 2, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXOO X X,6,"[1, 2, 1, 2, 2, 0, 1, 0, 1]"
XO  X XOO,6,"[1, 2, 0, 0, 1, 0, 1, 2, 2]"
OOXXX OXO,6,"[2, 2, 1, 1, 1, 0, 2, 1, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
XXOXO  XO,6,"[1, 1, 2, 1, 2, 0, 0, 1, 2]"
O   X X O,6,"[2, 0, 0, 0, 1, 0, 1, 0, 2]"
X XO OOXX,5,"[1, 0, 1, 2, 0, 2, 2, 1, 1]"
 OXOO X X,6,"[0, 2, 1, 2, 2, 0, 1, 0, 1]"
 X  XOO  ,1,"[0, 1, 0, 0, 1, 2, 2, 0, 0]"
X O X XOO,4,"[1, 0, 2, 0, 1, 0, 1, 2, 2]"
 X       ,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 O X X   ,5,"[0, 2, 0, 1, 0, 1, 0, 0, 0]"
  XOO  XX,6,"[0, 0, 1, 2, 2, 0, 0, 1, 1]"
  X  O  X,5,"[0, 0, 1, 0, 0, 2, 0, 0, 1]"
       XO,1,"[0, 0, 0, 0, 0, 0, 0, 1, 2]"
  X X  OO,7,"[0, 0, 1, 0, 1, 0, 0, 2, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOX O X X,6,"[2, 2, 1, 0, 2, 0, 1, 0, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXO XOX  ,8,"[2, 1, 2, 0, 1, 2, 1, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O    X X,5,"[0, 2, 0, 0, 0, 0, 1, 0, 1]"
OOX   X  ,9,"[2, 2, 1, 0, 0, 0, 1, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X  XOOOXX,3,"[1, 0, 0, 1, 2, 2, 2, 1, 1]"
      X O,4,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
 XO  XO X,1,"[0, 1, 2, 0, 0, 1, 2, 0, 1]"
X XOXOOXO,2,"[1, 0, 1, 2, 1, 2, 2, 1, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXXXO    ,9,"[2, 1, 1, 1, 2, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
XXOO  OX ,5,"[1, 1, 2, 2, 0, 0, 2, 1, 0]"
O X XOOX ,2,"[2, 0, 1, 0, 1, 2, 2, 1, 0]"
   O X   ,5,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
O  XXOOX ,2,"[2, 0, 0, 1, 1, 2, 2, 1, 0]"
 X    O  ,1,"[0, 1, 0, 0, 0, 0, 2, 0, 0]"
 XOX  OX ,5,"[0, 1, 2, 1, 0, 0, 2, 1, 0]"
   X   O ,5,"[0, 0, 0, 1, 0, 0, 0, 2, 0]"
   O  OXX,5,"[0, 0, 0, 2, 0, 0, 2, 1, 1]"
XOO O  XX,7,"[1, 2, 2, 0, 2, 0, 0, 1, 1]"
XOX   XO ,5,"[1, 2, 1, 0, 0, 0, 1, 2, 0]"
  O   X X,1,"[0, 0, 2, 0, 0, 0, 1, 0, 1]"
   X X  O,5,"[0, 0, 0, 1, 0, 1, 0, 0, 2]"
O  XX OX ,3,"[2, 0, 0, 1, 1, 0, 2, 1, 0]"
X XO     ,5,"[1, 0, 1, 2, 0, 0, 0, 0, 0]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
XX  OX OO,3,"[1, 1, 0, 0, 2, 1, 0, 2, 2]"
XOXXOXO  ,8,"[1, 2, 1, 1, 2, 1, 2, 0, 0]"
OO  XX XO,3,"[2, 2, 0, 0, 1, 1, 0, 1, 2]"
X O   XOX,5,"[1, 0, 2, 0, 0, 0, 1, 2, 1]"
      OX ,1,"[0, 0, 0, 0, 0, 0, 2, 1, 0]"
OO OX X X,3,"[2, 2, 0, 2, 1, 0, 1, 0, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXO   OX ,5,"[1, 1, 2, 0, 0, 0, 2, 1, 0]"
X XOOX  O,2,"[1, 0, 1, 2, 2, 1, 0, 0, 2]"
XOOX XOOX,5,"[1, 2, 2, 1, 0, 1, 2, 2, 1]"
  XX OX O,5,"[0, 0, 1, 1, 0, 2, 1, 0, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
   X  O  ,5,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
OOXXXOOX ,9,"[2, 2, 1, 1, 1, 2, 2, 1, 0]"
 O XX   O,7,"[0, 2, 0, 1, 1, 0, 0, 0, 2]"
OX O X XO,5,"[2, 1, 0, 2, 0, 1, 0, 1, 2]"
O X    OX,7,"[2, 0, 1, 0, 0, 0, 0, 2, 1]"
 O OXOXX ,9,"[0, 2, 0, 2, 1, 2, 1, 1, 0]"
 XXXOOX O,1,"[0, 1, 1, 1, 2, 2, 1, 0, 2]"
XO    OX ,6,"[1, 2, 0, 0, 0, 0, 2, 1, 0]"
 O XX O  ,9,"[0, 2, 0, 1, 1, 0, 2, 0, 0]"
 XXX OO O,8,"[0, 1, 1, 1, 0, 2, 2, 0, 2]"
 OX  XOXO,1,"[0, 2, 1, 0, 0, 1, 2, 1, 2]"
  O XX   ,4,"[0, 0, 2, 0, 1, 1, 0, 0, 0]"
     OXXO,5,"[0, 0, 0, 0, 0, 2, 1, 1, 2]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
X  OO XX ,6,"[1, 0, 0, 2, 2, 0, 1, 1, 0]"
OX X     ,6,"[2, 1, 0, 1, 0, 0, 0, 0, 0]"
 OOXX  X ,6,"[0, 2, 2, 1, 1, 0, 0, 1, 0]"
   OOXX  ,9,"[0, 0, 0, 2, 2, 1, 1, 0, 0]"
X X O   O,4,"[1, 0, 1, 0, 2, 0, 0, 0, 2]"
OX       ,5,"[2, 1, 0, 0, 0, 0, 0, 0, 0]"
X OX OOX ,9,"[1, 0, 2, 1, 0, 2, 2, 1, 0]"
  OX O  X,2,"[0, 0, 2, 1, 0, 2, 0, 0, 1]"
    XO  X,7,"[0, 0, 0, 0, 1, 2, 0, 0, 1]"
 OOX X X ,5,"[0, 2, 2, 1, 0, 1, 0, 1, 0]"
 OO X   X,1,"[0, 2, 2, 0, 1, 0, 0, 0, 1]"
O OX   X ,5,"[2, 0, 2, 1, 0, 0, 0, 1, 0]"
X XXO   O,6,"[1, 0, 1, 1, 2, 0, 0, 0, 2]"
O OXX  OX,6,"[2, 0, 2, 1, 1, 0, 0, 2, 1]"
X   X   O,3,"[1, 0, 0, 0, 1, 0, 0, 0, 2]"
 XX XOOOX,1,"[0, 1, 1, 0, 1, 2, 2, 2, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X OO  X X,5,"[1, 0, 2, 2, 0, 0, 1, 0, 1]"
 OOXX X  ,1,"[0, 2, 2, 1, 1, 0, 1, 0, 0]"
 O      X,3,"[0, 2, 0, 0, 0, 0, 0, 0, 1]"
O  X O  X,5,"[2, 0, 0, 1, 0, 2, 0, 0, 1]"
     XX O,5,"[0, 0, 0, 0, 0, 1, 1, 0, 2]"
 X X  OXO,5,"[0, 1, 0, 1, 0, 0, 2, 1, 2]"
  XOX  XO,6,"[0, 0, 1, 2, 1, 0, 0, 1, 2]"
 X XOOOX ,3,"[0, 1, 0, 1, 2, 2, 2, 1, 0]"
   X XO O,5,"[0, 0, 0, 1, 0, 1, 2, 0, 2]"
 X   X O ,1,"[0, 1, 0, 0, 0, 1, 0, 2, 0]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
O   XXOOX,3,"[2, 0, 0, 0, 1, 1, 2, 2, 1]"
    XO XO,3,"[0, 0, 0, 0, 1, 2, 0, 1, 2]"
X   OO X ,4,"[1, 0, 0, 0, 2, 2, 0, 1, 0]"
OO XXO X ,3,"[2, 2, 0, 1, 1, 2, 0, 1, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   X    ,7,"[2, 0, 0, 0, 1, 0, 0, 0, 0]"
 OXX XO O,5,"[0, 2, 1, 1, 0, 1, 2, 0, 2]"
 XO   X  ,9,"[0, 1, 2, 0, 0, 0, 1, 0, 0]"
XOX O XXO,4,"[1, 2, 1, 0, 2, 0, 1, 1, 2]"
X O   X  ,9,"[1, 0, 2, 0, 0, 0, 1, 0, 0]"
 OXOX  X ,7,"[0, 2, 1, 2, 1, 0, 0, 1, 0]"
XOOXXO X ,9,"[1, 2, 2, 1, 1, 2, 0, 1, 0]"
